"","x"
"277",6227.72738170624
"278",2203.12898605663
"279",2160.79582664578
"280",6095.65764850556
"281",2299.15128817773
"282",6093.78234808196
"283",6556.25214705679
"284",2163.33095412984
"285",6369.83344408539
"286",14467.0934768241
"287",2160.79582664578
"288",6289.02190686869
"289",2118.46266723493
"290",6270.06054111709
"291",2378.7473520313
"292",10316.1554300024
"293",2084.95036363941
"294",10252.3257773559
"295",2064.11369746421
"296",2219.55522432416
"297",10254.2010777795
"298",6152.54174576034
"299",2108.98198435913
"300",2244.80231840701
